COUNTRY;COUNTRY CODE;STATE;STATE CODE;COUNTY;COUNTY CODE;LOCALITY ID;LOCALITY TYPE;LATITUDE;LONGITUDE
Morocco;MA;Guelmim-Es Smar;MA-14;;;L1000226;P;28.6;-10.9
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000228;P;32.6;-7.8
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000230;P;32.5;-7.9
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1000608;H;30.9;-6.9
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000608;H;31.2;-9.7
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000609;P;31.2;-7.8
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000609;H;31.2;-7.8
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000609;H;31;-8.2
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000609;H;31.4;-7.8
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000609;P;31.2;-8
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1000610;H;30.9;-8.4
Morocco;MA;Meknès-Tafilal;MA-06;;;L1000610;H;31.5;-5
Morocco;MA;Meknès-Tafilal;MA-06;;;L1000610;P;32.7;-4.8
Morocco;MA;Marrakech-Tensi;MA-11;;;L1000715;P;31.4;-7.8
Morocco;MA;Meknès-Tafilal;MA-06;;;L1000765;P;32.7;-4.8
Morocco;MA;Marrakech-Tensi;MA-11;;;L1001069;P;31.4;-7.8
Morocco;MA;Meknès-Tafilal;MA-06;;;L1001071;P;33.9;-5.6
Morocco;MA;Gharb-Chrarda-B;MA-02;;;L1001074;P;34.8;-6.3
Morocco;MA;Marrakech-Tensi;MA-11;;;L1001646;P;31.8;-9.4
Morocco;MA;Doukkala-Abda  ;MA-10;;;L1001652;P;32.2;-9
Morocco;MA;Marrakech-Tensi;MA-11;;;L1001654;P;31.5;-9.6
Morocco;MA;Meknès-Tafilal;MA-06;;;L1002008;P;33.9;-5.6
Morocco;MA;Meknès-Tafilal;MA-06;;;L1002030;P;34;-5.6
Morocco;MA;Meknès-Tafilal;MA-06;;;L1002469;P;31.7;-5
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1002505;P;31.3;-7.4
Morocco;MA;Meknès-Tafilal;MA-06;;;L1002955;P;31.8;-4.2
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1003053;P;30.3;-9.6
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1003064;P;30;-9.6
Morocco;MA;Marrakech-Tensi;MA-11;;;L1003587;P;31.6;-8
Morocco;MA;Doukkala-Abda  ;MA-10;;;L1003762;P;32.9;-8.8
Morocco;MA;Guelmim-Es Smar;MA-14;;;L1003800;P;29.8;-8.5
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1003957;P;31.4;-5.3
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1004105;P;31;-7.2
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1004248;P;30.1;-9.7
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1004800;P;30.7;-8.8
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1005307;P;30.9;-6.9
Morocco;MA;Grand Casablanc;MA-08;;;L1006552;P;33.6;-7.6
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1006556;P;30.7;-6.4
Morocco;MA;Marrakech-Tensi;MA-11;;;L1006617;P;31.6;-8
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1006885;P;30.7;-8.2
Morocco;MA;Guelmim-Es Smar;MA-14;;;L1007314;P;28.6;-10
Morocco;MA;Marrakech-Tensi;MA-11;;;L1007750;P;31.2;-7.8
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1007790;P;30.5;-9.3
Morocco;MA;Marrakech-Tensi;MA-11;;;L1007866;P;31.5;-8
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1007940;P;30.9;-6.9
Morocco;MA;Tadla-Azilal   ;MA-12;;;L1008015;P;32;-6.6
Morocco;MA;L'Oriental     ;MA-04;;;L1008431;P;35.3;-3.1
Morocco;MA;L'Oriental     ;MA-04;;;L1008433;P;35.3;-3
Morocco;MA;Marrakech-Tensi;MA-11;;;L1008621;P;31.4;-7.9
Morocco;MA;L'Oriental     ;MA-04;;;L1008788;P;35.1;-2.7
Morocco;MA;L'Oriental     ;MA-04;;;L1008788;P;35.4;-3
Morocco;MA;Fès-Boulemane ;MA-05;;;L1008792;P;33.9;-5
Morocco;MA;Taza-Al Hoceima;MA-03;;;L1008793;P;34.3;-4
Morocco;MA;L'Oriental     ;MA-04;;;L1008794;P;34.3;-3.6
Morocco;MA;L'Oriental     ;MA-04;;;L1008794;P;34.8;-3
Morocco;MA;L'Oriental     ;MA-04;;;L1008794;P;34.9;-2.9
Morocco;MA;L'Oriental     ;MA-04;;;L1008794;P;35.1;-2.9
Morocco;MA;L'Oriental     ;MA-04;;;L1008795;P;35.2;-2.9
Morocco;MA;L'Oriental     ;MA-04;;;L1008795;P;35.2;-2.9
Morocco;MA;L'Oriental     ;MA-04;;;L1008796;P;35.3;-2.9
Morocco;MA;L'Oriental     ;MA-04;;;L1008796;P;35.1;-2.8
Morocco;MA;Tadla-Azilal   ;MA-12;;;L1008979;P;31.9;-6.2
Morocco;MA;Marrakech-Tensi;MA-11;;;L1009019;P;31.6;-8
Morocco;MA;Rabat-Salé-Zem;MA-07;;;L1009671;P;33.8;-5.9
Morocco;MA;Gharb-Chrarda-B;MA-02;;;L1009676;P;34.3;-5.9
Morocco;MA;Meknès-Tafilal;MA-06;;;L1009678;P;33.9;-5.5
Morocco;MA;Doukkala-Abda  ;MA-10;;;L1009920;P;33;-8.7
Morocco;MA;Doukkala-Abda  ;MA-10;;;L1009941;P;32.9;-8.8
Morocco;MA;L'Oriental     ;MA-04;;;L1011277;H;32.6;-1.6
Morocco;MA;L'Oriental     ;MA-04;;;L1011382;P;32.1;-1.2
Morocco;MA;Chaouia-Ouardig;MA-09;;;L1011719;P;33.1;-7.2
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1012111;P;30.2;-9.6
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1012142;P;30.1;-9.6
Morocco;MA;Sous-Massa-Draa;MA-13;;;L1012160;P;30.4;-9.6
Morocco;MA;Marrakech-Tensi;MA-11;;;L1012573;P;31.6;-8
